"company","title","powerbi","qlik","tableau","description"
"Ordina ","junior data visualisatie consultant",TRUE,TRUE,TRUE,"Als junior data visualisatie consultant help je onze klanten bij het oplossen van complexe BI-vraagstukken. Je verzamelt gegevens van verschillende bronnen, optimaliseert datasets voor rapportage en ontwikkelt gebruiksvriendelijke dashboards. Op basis van je eigen expertise en de Ordina BI methodologie verhoog je de kwaliteit van de rapportages en visualisaties bij de klant. Daarnaast draagt je input bij aan de visie en ontwikkeling van onze BI unit en de gebruikte methodes.

Ben je net afgestudeerd of heb je een paar jaar ervaring? Wil je deel uitmaken van een snel groeiend en dynamisch team dat nauw samenwerkt met één van de marktleiders op het gebied van data visualisatie en wil je uitgroeien tot een echte ‘data visualization wizard’? Solliciteer dan zeker en wie weet zal ons ‘Data Visualization’-team snel versterken.
Wie we zoeken
Je hebt een passie voor data visualisatie
Je communiceert snel en duidelijk, zowel met uw collega’s als met de klant
Je durft creatief te zijn, maar verliest de details niet uit het oog
Ervaring met data exploratie en visualisatie tools zoals Tableau, Power BI, D3.js, Qlik, enz. professioneel of privé is een pluspunt
Kennis van SQL is een pluspunt
Wat wij bieden
Je wordt een sleutelfiguur in projecten bij Belgische topbedrijven
Je komt terecht in een hightech omgeving met focus op kennis en innovatie
Je kennis blijft scherp door deel te nemen aan workshops, conferenties, trainingen en je wordt ondersteund bij het behalen van certificaten
Een gezonde balans tussen werk en privéleven
Je kunt richting geven aan je carrière en blijven groeien
Je collega’s zijn down to earth en hebben een no-nonsense manier van werken, er is ruimte voor eigen initiatief
Je kan deelnemen aan leuke business- en teambuildingactiviteiten
Je geniet van voordelen zoals een bedrijfswagen, laptop, gsm-vergoeding, maaltijdcheques, verzekering etc."
"AbAKUS IT Solutions ","data scientist – bi",TRUE,FALSE,FALSE,"Mission

Currently we are looking for a Senior Data Science Consultant to join our technical BI and Data Science team as of 1/Mar/2018.

Requirements

The Medior to Senior Data Scientist should be able to:

Be a team-player
Be creative and be a force of proposal
Understand and learn quickly complex business cases
Interested by domains like public transport, train punctuality, predictive maintenance…
Document functional and technical requirements
Share his knowledge with the others members of the DS team
Strong knowledge with Machine Learning and Predictive Analysis
Develop with R and/or Python
Work in an agile environment
Context

This consultant will be part of the “BI & Analytic” department within the “Technology Competence Center” organization and will report to the BI Lead.
We are looking for a great teamplayer with excellent interpersonal skills to work in this matrix organisation and can be self-reliant.
French or Dutch + English.
Experience with Azure/Power BI is a plus
Apply
ABAKUS it-solutions is a company where a bit of madness and serious are not incompatible ! Join-us !
and help us providing the IT comfort our customers deserve!
Apply"
"Dauvister ","offre d’emploi – data manager",FALSE,FALSE,TRUE,"Afin de soutenir sa croissance importante, Dauvister est à la recherche d’un(e):

Data Manager
Vous êtes en charge de la bonne gestion des données de notre entreprise. Vous êtes la personne de référence pour les bonnes pratiques facilitant le fonctionnement de notre ERP.

Vos tâches :

Assurer la bonne cohérence des données dans l’ERP (logiciel de gestion intégré)
Fiches clients complètes et à jour
Champs utiles correctement complétés
Structuration adéquate des données
Sensibiliser les utilisateurs aux bonnes pratiques. Suivre l’état des dossiers chantiers, commandes, offres, livraisons et réceptions dans l’ERP pour éviter les éléments qui resteraient non traités sans raisons.
Coordonner le développement et la priorisation des analyses pertinentes hors des outils de reporting/Business Intelligence demandées par les utilisateurs
Etre la personne relais et l’expert interne au niveau de l’ERP (formations des nouveaux arrivants, mise à niveau du personnel, demandes de modifications, nouvelles fonctionnalités, édition de manuels/procédures internes d’utilisation…)
Votre profil

Expérience : minimum 5 années d’expérience en administration et gestion de données
Maîtrise d'Excel (tableau croisés dynamiques...)
Connaissance et utilisation d'un ERP ou similaire
Rédaction de procédures
Très bon sens logique
Bon pédagogue
Une certaine empathie et intelligence émotionnelle est requise (le poste nécessite de savoir adapter sa communication verbale et écrite en fonction des intervenants)
Localisation du poste : Francorchamps

Notre offre :
Outre un contrat à durée indéterminée, assorti d’un package salarial attrayant et en lien avec votre profil, Dauvister vous offre un environnement de travail professionnel et stimulant dans le domaine des énergies renouvelables.

Vous rejoignez une équipe dynamique, ambitieuse et soudée, où la convivialité et l’ambiance familiale règne dans un lieu de travail agréable.

Plus qu'un poste, notre société vous propose une fonction riche en contacts et remplie de responsabilités avec des possibilités d’évolution.

Si vous êtes intéressé(e) par cette opportunité, merci d’envoyer votre candidature à rh@dauvister.com

En savoir plus à propos de notre entreprise :
La société Dauvister, créée en 2007, est un leader belge sur le marché de l’installation de technologies d’utilisation rationnelle de l’énergie, notamment pour les systèmes de chauffage et d’électricité photovoltaïque.

Suite à son partenariat avec EDF Luminus, la société fait face à une croissance importante.

Dauvister propose des solutions technologiques pointues à ses clients particuliers et industriels pour optimiser leur consommation d’énergie. Quel que soit le projet, qu’il s’agisse d’une nouvelle construction ou d’une rénovation, l’entreprise Dauvister étudie le dimensionnement, donne les conseils adaptés et effectue l’installation de A à Z.

La société emploie 180 personnes et a été primée à de nombreuses reprises pour sa croissance (Grand Prix Wallon à l’Entrepreneuriat, Gazelles de Trends, Deloitte Fast50).

Plus d’informations sur www.dauvister.com"
"IBM ","business / data analyst 2018 - internship/stage",FALSE,FALSE,TRUE,"Job Description
[if gte mso 9] > >[if gte mso 9] > >[if gte mso 9] > >[if gte mso 10] > >*if interested please include a motivation letter in your CV file, in order to speed up the selection process and increase your opportunity to be considered for the role.*

Our team is based in Brussels is helping our clients fight terrorism, support national defense, and ensure safety of Belgian and European citizens. We support a range of clients in Belgium and across Europe such as NATO, Belgian Defense, and Police in support their mission. We innovate to develop platforms for intelligence analysis, defense operations, and back office optimizations using industry leading capabilities such as cognitive computing, big data analytics, and design thinking. We apply IBM industry leading research to solve client problems in most society affecting missions such as national defense, anti-terrorism and organized crime.

What you will do:
Lead and assist in execution of special projects related to application of cognitive technologies using IBM Watson
Assist in developing the IBM products in support of next generation recruiting and staffing
Support data analysis and data migration associated with projects using advanced data management techniques
Develop reports for internal and external consumers

Required Technical and Professional Expertise

Requirements for the position:
Understanding of data analytics and of research techniques
Experience with development of data reports and visualization
Experience with at least one of Excel, Cognos, Tableau or Clickview.
Fluent in English (reading, writing and speaking)

If you are interested, please apply by providing both a cover letter and a resume.
Do not hesitate to apply to join us on our IBM journey!

Preferred Tech and Prof Experience

Business management or Data Science or Data Analytics is a plus.

EO Statement
IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status."
"30+ dagen geleden ","project manager - in brussels",FALSE,TRUE,TRUE,"The European Society of Cardiology (ESC) is the world’s largest organization of physicians dedicated to fighting heart disease. It helps more than 90,000 healthcare professionals from 120 countries expand the boundaries of cardiovascular medicine so people can lead longer, healthier lives. The ESC publishes a dozen different scientific journals, an array of textbooks and the latest clinical practice guidelines. It provides continuing medical education through webinars and classroom courses, and hosts the summit of cardiovascular science each August - ESC Congress - which attracts more than 33,000 heart specialists and delivers over 4,500 of the latest scientific abstracts.----------------------------------------------------------------------------------------------------------------------------The European Society of Cardiology (ESC) seeks applications for the position of a Project Manager in the field of Health to administer the ESC Atlas of Cardiology - a cardiovascular statistics project, based in the ESC Brussels office. The job objective is to devise and implement capacity building and research in health economics, health policy and health management aspects in the cardiovascular diseases arena.Main responsabilities: The ESC represents over 90,000 cardiology professionals from across Europe and even beyond. Its mission is to reduce the burden of cardiovascular disease. Within its constituent bodies, it provides an array of scientific and educational activities; such as the production and updating of clinical practice guidelines, educational initiatives, pan-European surveys on specific disease areas, an annual delivery of world-leading congresses and production of publications of many prestigious journals in cardiology. The ESC has established in Brussels the European Heart Agency and in its context a Scientific Pole, to develop a wide range of innovative developments, among them to build cardio-statistics data bases, to undertake and disseminate research, as well as to elaborate educational and related activities focusing on the economics, management and health policy issues of cardiology. The Project Manager will work in the Scientific Pole of the European Heart Agency under the supervision of the line manager.Specific tasks: In your role, you will:- Manage projects focused on health economics in cardiology- Collect, collate, and synthesize cardiology related statistics from 56 member countries across the European region and beyond- Present and disseminate the database- Liaise and network with relevant internal and external stakeholders- Facilitate the participation to joint research programs with prestigious partners- Represent the ESC in its various scientific congressesProfile and experience: - Minimum 1-5 years work experience in relevant academic, policy, consulting or industry setting- Project Management experience in scientific projects- The health economics dimension or scientific mindset similar is an asset- Self-driven and multi-task oriented with international understanding- Capacity to interact and build relations with very diverse stakeholders- Previous experience with data manipulation, data reporting and data visualisation- Advanced Excel skills- Knowledge of working with interactive and dynamic Business Intelligence software (such as Tableau Desktop, QlikSense or similar) is an advantageContract details: Position based in Brussels – Permanent contractApplications in English only :your cover letter (with possible start date mentioned)your curriculum vitaesalary expectationsDans le cadre de sa politique diversité, l'ESC étudie, à compétences égales, toutes candidatures dont celles de personnes en situation de handicap.Job Type: PermanentExperience:project management: 2 years (Preferred)Location:Bruxelles (Required)Language:English (Required)"
"AG Insurance ","data scientist customer insight analytics",TRUE,FALSE,TRUE,"Vous collaborez avec les différentes business lines (principalement Life et Non-Life) et vous comprenez leurs besoins et les procédures du business impliquées.
Vous découvrez de nouvelles opportunités pour optimiser les procédures et utiliser les données et modèles des analyses dans les différentes business lines.
Vous comprenez les procédures du business (process flow, data flow, parties prenantes).
Vous collaborez avec le département IT pour améliorer les capacités d’analyse de données (outils, bases de données) et pour concevoir des solutions d’implémentation.
Vous associez les procédures du business à la structure de données sous-jacente (data warehouse, operational data store).
Vous pratiquez la modélisation et l’extraction de données dans SAS Base et SQL.
Vous êtes capable d’extraire et de travailler sur des données provenant de sources ou plateformes multiples (structurées ou non), d’exécuter des analyses explicatives et de résoudre les problèmes de données.
Vous explorez les données, la modélisation statistique et l’apprentissage machine avec R.
Vous assurez la visualisation des données avec R, Power BI, ou SAS Visual Analytics.
Vous communiquez efficacement des résultats au business via des slides ou tableaux de bord.
Vous vous tenez informé(e) des technologies les plus récentes.
Vous collaborez avec Ageas et ses sociétés opérationnelles pour améliorer la maturité des analyses et les capacités de partage des connaissances.
Votre profil
Master en Informatique, ingénierie mathématique, économie, mathématiques appliquées, physique ou statistiques.
Une excellente intuitivité commerciale.
Une expérience approfondie en analyses statistiques et en apprentissage machine.
Expérience avec SQL et avec les langages de programmation tels que R, Matlab, Julia, ou Python.
Une expérience avec TensorFlow ou similaire est un plus.
Capacité à travailler avec différentes structures de données et bases de données (relational, graph).
Une expérience en reconnaissance des formes (images) et en analyse de textes constitue un atout.
Maîtrise de l’anglais et du français ou néerlandais.
Nous offrons
Une entreprise qui offre des possibilités de développement dans votre fonction et une carrière diversifiée.
Un employeur stable et possédant une vision à long terme claire.
Une ambiance de travail positive au sein de votre équipe, mais aussi en dehors.
La flexibilité nécessaire pour parvenir à un bon équilibre entre vie privée et vie professionnelle.
Un lieu de travail moderne doté d’équipements adaptés et d’outils technologiques en phase avec leur temps.
Un salaire attractif et un large éventail d’avantages.
Intéressé(e)?
Vous souhaitez vous joindre à nous? Découvrez les défis qui vous attendent sur jobs.aginsurance.be et postulez en ligne sans plus attendre.

350443"
"McKinsey & Company ","consultant - analytics & process control",FALSE,FALSE,TRUE,"Qualifications
Advanced graduate degree and excellent academic record required (e.g., Master, MBA, PhD, etc.)
Strong record of leadership in an academic, professional, or extracurricular setting
Comprehensive practical knowledge in the field of manufacturing process control systems and adanced analytics, ideally gained in a process industry or a similarly capital-intensive sector
Familiarity with standard tools for improving manufacturing efficiency and effectiveness, e.g., lean manufacturing, Six Sigma, TPM
Ideally, first-hand experience with advanced analytical methods for yield, energy, throughput, and quality, and a basic understanding of data science and techniques (such as machine learning)
Statistical programming software experience in SAS, SPSS, R, Python, Matlab or equivalent and knowledge of analytics tools (i.e. Tableau, Alteryx) and SQL databases will be an asset
Ability to work collaboratively in a team environment
Ability to communicate complex ideas effectively, both verbally and in writing, in English and Dutch or French
Willingness to travel
Who You'll Work With
You’ll be working with McKinsey’s Operations practice in Europe. Our Operations practice assists our clients in solving complex operational challenges. Blending strategic thinking with hands-on practicality, our teams of consultants and experts work to develop and implement operational strategies that solve our clients' most critical problems.
As part of our Operations practice, our Analytics teams bring the latest analytical techniques plus a deep understanding of industry dynamics and corporate functions to help clients create the most value from data. Operations Analytics can help solve problems in optimization, forecasting, simulation, and big data comparison and visualization. Combining deep strategic and business insight with world-class technological and operational capabilities, we work with clients to identify where to focus their efforts, convert data and models into actionable insights, and develop institutional skills and structures to sustain impact.
What You'll Do
You will serve as an engineering or production expert on consulting teams that lead McKinsey clients to higher levels of operations performance.
You will be instrumental in the analysis of client requirements as well as in the design and implementation of programs to transform clients' operations. Furthermore, you will develop specific solutions by working in close collaboration with client-based experts and executives.
The challenges you will face range from the implementation of shop-floor improvements to fundamental changes in work processes and information and material flows. In addition to working directly with clients, you will also exchange knowledge with colleagues at the international level, contribute to developing both your own and our expertise, and refining our approaches in the areas of advanced process optimization via big data and lean production."
"KPMG ","(senior) data & analytics consultant",TRUE,TRUE,TRUE,"Roles and Responsibilities
Assess, capture, and translate complex business issues and requirements into structured data-driven / analytics use casesEngage with business experts, build trust and help establish a more data-driven cultureSupport in data-driven transformation projects, from strategy and operating model definition and realization clients to implementation of analytics and robotics solutions.Support the design and development of tools and technology, collaborating with business and data management experts, data scientists, data integration teams and visualization experts to deliver analysis and actionability that fits the needsUtilize a hypothesis-driven problem-solving approach to design, construct, and rapidly test/iterate exploratory analyses that will reveal insight and opportunities for the clientHelp grow our D&A team and skillset through mentoring others and sharing what you know and learnSupport in go-to-market, sales and proposal activitiesActively participate in D&A core team meetings and analytics or robotics related events

Qualifications and Skills
Minimum of 3 years of data analytics and management experience with a professional services firm, an internal strategy/analytics group, or similar environmentMaster degree in technical or quantitative field with working knowledge of topics such as statistics, econometrics, machine learning, operations research, decision science, and/or cloud computingBroad, versatile knowledge of analytics, new technologies and how they impact companies and society (e.g. Internet of Things, Artificial Intelligence, Deep learning…)Demonstrated analytics solution design and build expertise, work stream management skills, strong business consulting acumen in applying a data-driven approach to solve business issuesKnowledge of or strong aptitude for quick learning business operations, processes and modelsStrong communication skills with the ability to explain technical concepts and analytics-driven findings to business people, and to explain business processes, concepts, challenges, and issues to technical resourcesA pragmatic, pro-active and result-oriented mindsetProficiency with analytics tools and programming languages (e.g., SAS, SPSS, R, Python, Alteryx, SQL, HiveQL) and/or visualization platforms (e.g., Tableau, Qlikview, PowerBI, or JavaScript)Fluent communication and facilitation skills in Dutch & English required. French considered a strong advantage.

We offer
At KPMG you are appreciated for your professional skills and expertise. Surrounded by a strong team spirit in an international and dynamic work environment, you will find knowledge that is enriching for your career. You will be working for top tier clients advising them on their Technology journey.
We are committed to provide you with the best tools, resources and support throughout your career. Our firm's success is based on the talents and abilities of our team, and our focus is on providing you with the best opportunities to learn and develop across our organization. You will need to be naturally ambitious and highly motivated, but we will help you to develop the functional, technical and personal skills you need to act as a trusted advisor to our clients. If you are a confident, innovative thinker driven by the desire to be successful in everything you do, you could be exactly who we are looking for.
Besides a competitive remuneration package, we offer you a great number of extra-legal advantages as well as the opportunity to work for major clients in various industry sectors."
"Imec ","scientific reporting officer",TRUE,FALSE,FALSE,"What you will do
You will be a member of the Advanced Patterning Department, which is responsible for exploring new opportunities and developing new applications within the field of Lithography. For this position, we are looking for a person that takes on responsibilities within the streamlining of the operational activities of our department.

More specifically, your tasks include:
Regular follow-up of the logistical activities within the department and high-quality reporting (e.g. partner reporting on financials)
Propose effective data analysis and visualization methodologies to facilitate data interpretation, identification of relationships and trends, and facilitate reporting, by e.g. automation of output formats, presenting own ideas in way-of-working, ...
Interfacing with relevant parties to identify the future needs for data analysis and reporting
Reporting about your work to internal and external partners.
What we do for you
We offer you the opportunity to join one of the world’s premier research centers in nanotechnology at its headquarters in Belgium. With your talent, passion and expertise, you’ll become part of a team that makes the impossible possible. Together, we shape the technology that will determine the society of tomorrow.
We are proud of our open, multicultural, and informal working environment with ample possibilities to take initiative and show responsibility. We commit to supporting and guiding you in this process; not only with words but also with tangible actions. Through imec.academy, 'our corporate university', we actively invest in your development to further your technical and personal growth.
We are aware that your valuable contribution makes imec a top player in its field. Your energy and commitment are therefore appreciated by means of an attractive and competitive salary with many fringe benefits. If needed, we also provide international relocation support for you and your family.
Who you are
We are looking for great candidate with a master’s Degree in Engineering, or equivalent by experience.
You will require a strong capability to work independently with a focus on quality for your deliverables.
You have a strong affinity with data analysis and trend visualization and a background in statistical data analysis using Power BI, Python, VBA, ..., is an asset.
You will actively participate in cross-functional teams, where your affinity for science and engineering, analytical mindset, clear communication and technical abilities will strengthen the team.
You have excellent communication skills since you will work in a multicultural team of imec researchers, PhD students and industrial researchers;
You are a team player with good networking skills. You also possess good reporting skills.
You appreciate new challenges, have eye for detail, can handle confidential information and be discrete.
Given the international character of imec, good knowledge of (spoken and written) English is a must.
Apply for this job"
"KPMG ","senior manager advanced analytics",TRUE,TRUE,TRUE,"Roles and Responsibilities
Interact with business leaders and functional experts to understand current and future business challenges and needs and develop long lasting client relationshipsAssess, capture, and translate complex business issues and requirements into a structured analytics use case, including rapid learning of industry/domain/client dynamics and development of effective work stream plansProactively broaden and deepen client and internal relationships by working with senior-level clients and senior-level KPMG advisory colleagues.Utilize a hypothesis-driven problem-solving approach to design, construct, and rapidly test/iterate exploratory analyses that will reveal insight and opportunities for the clientLead multiple client and innovation analytics projects of different varieties including strategy, advanced modeling, providing full oversight of engagement structure, team management, and deliverables for teams comprising data science, artificial intelligence, and visualization expertsLead the design and development of tools and technology, working with data scientists, data integration teams and visualization experts to deliver analysis that fits the needsTrack, communicate, and manage project risks, budget, rates, profitability, and launch/closeout activities, including the administration of work papers and collaboration sitesHelp build and grow the team through recruiting, coaching and mentoring team members and sharing knowledge and experiences

Qualifications and Skills
Minimum of six years of data analytics and management experience with a professional services firm, an internal strategy/analytics group, or similar environmentMaster degree in a technical or quantitative field with working knowledge of topics such as statistics, econometrics, machine learning, operations research, decision science, and cloud computing.Demonstrated analytics solution design and build expertise, project and team management skills, strong business consulting acumen in applying advanced analytics to solve business issues, and knowledge of business operational, process, delivery, and revenue modelsStrong communication skills with the ability to explain technical concepts and analytics-driven findings to business people including C-level executives, and to explain business processes, concepts, challenges, and issues to technical resourcesProficiency with directing use of sophisticated analytics tools and programming languages (e.g., SAS, SPSS, R, Python, Alteryx, SQL, HiveQL) and visualization platforms such as Tableau, Qlikview, PowerBI, or JavaScript.Fluent communication and facilitation skills in Dutch & English required. French considered a strong advantage.Excellent interpersonal skills and change management mindset. Experience in organizational change management is a plusUnderstanding of market trends, new technologies and how they impact companies and society (e.g. Internet of Things, Artificial Intelligence, Deep learning…)

We offer
At KPMG you are appreciated for your professional skills and expertise. Surrounded by a strong team spirit in an international and dynamic work environment, you will find knowledge that is enriching for your career. You will be working for top tier clients advising them on their Technology journey.
We are committed to provide you with the best tools, resources and support throughout your career. Our firm's success is based on the talents and abilities of our team, and our focus is on providing you with the best opportunities to learn and develop across our organization. You will need to be naturally ambitious and highly motivated, but we will help you to develop the functional, technical and personal skills you need to act as a trusted advisor to our clients. If you are a confident, innovative thinker driven by the desire to be successful in everything you do, you could be exactly who we are looking for.
Besides a competitive remuneration package, we offer you a great number of extra-legal advantages as well as the opportunity to work for major clients in various industry sectors."
